Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2021,TX,Texas,Deaf Smith,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.0,33.6,51.0,18329,48117,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-102.6075637 34.9407663),3163.0
2021,AL,Alabama,Dallas,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,44.3,36.8,52.2,37619,1047,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-87.11436 32.3335263),1542.0
2021,AK,Alaska,Petersburg,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,31.0,24.4,38.2,3356,2195,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-133.0085979 57.1124581),117.0
2021,AL,Alabama,Lawrence,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,41.3,33.3,49.6,33090,1079,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-87.3218651 34.529776),1585.0
2021,CA,California,Riverside,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.0,31.1,41.3,2458395,6065,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-116.0022389 33.7298275),1177.0
2021,AR,Arkansas,Conway,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.8,32.5,49.5,20873,5029,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-92.6892479 35.265702),956.0
2021,CA,California,Colusa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,33.4,25.5,41.7,21917,6011,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-122.2375629 39.1777385),72.0
2021,CA,California,Mono,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.8,22.7,38.0,13247,6051,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-118.8751668 37.9158363),1170.0
2021,CA,California,Kern,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,36.6,30.5,43.0,917673,6029,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-118.7295064 35.3466288),1192.0
2021,AR,Arkansas,Cross,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,43.2,35.4,51.4,16681,5037,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-90.7639835 35.2856921),14.0
2021,AR,Arkansas,Lee,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,46.9,38.0,55.2,8619,5077,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-90.7797172 34.7795048),1032.0
2021,AR,Arkansas,Hempstead,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,44.8,36.8,53.1,19694,5057,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-93.6643553 33.735953),1024.0
2021,AR,Arkansas,Miller,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,38.2,31.2,45.8,42649,5091,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-93.9015018 33.3055054),1036.0
2021,AR,Arkansas,Phillips,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,42.8,35.5,50.2,15906,5107,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-90.8555931 34.4236874),994.0
2021,GA,Georgia,Spalding,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.0,29.1,43.9,67909,13255,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-84.2849046 33.2623481),1565.0
2021,AR,Arkansas,Izard,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.4,30.0,45.5,13911,5065,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-91.9136252 36.0948792),1027.0
2021,AL,Alabama,Franklin,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,39.1,31.2,47.8,32013,1059,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-87.8428144 34.4419892),99.0
2021,AR,Arkansas,Garland,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,36.2,30.4,42.6,100330,5051,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-93.1469323 34.5788522),16.0
2021,AZ,Arizona,Santa Cruz,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,34.9,28.0,42.0,47883,4023,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-110.8452278 31.525733),9.0
2021,CA,California,Mariposa,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,29.7,22.2,37.3,17147,6043,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-119.9117215 37.5743432),75.0
2021,AR,Arkansas,Lincoln,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,41.4,33.6,49.3,13037,5079,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-91.742355 33.9563846),3103.0
2021,AZ,Arizona,Mohave,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,35.7,30.5,41.0,217692,4015,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-113.7496891 35.717705),8.0
2021,AR,Arkansas,Fulton,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,40.4,32.3,48.2,12145,5049,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-91.8192849 36.3813225),1021.0
